time,car_speed,car_road_id,car_waypoint_id,drone_target_speed,drone_speed,drone_road_id,drone_waypoint_id
9.720614910125732,10.0,1,1,15.0,0.16845646500587463,1,0
9.822252988815308,10.0,1,1,15.0,0.25701117515563965,1,0
9.922872304916382,10.0,1,1,15.0,0.25701117515563965,1,0
10.023357152938843,10.0,1,1,15.0,0.29190418124198914,1,0
10.12389326095581,10.0,1,2,15.0,0.29190418124198914,1,0
10.224395036697388,10.0,1,2,15.0,0.29190418124198914,1,0
10.324840784072876,10.0,1,2,15.0,0.41627755761146545,1,0
10.425424575805664,10.0,1,2,15.0,0.41627755761146545,1,0
10.525977373123169,10.0,1,3,15.0,0.6155748963356018,1,0
10.62638807296753,10.0,1,3,15.0,0.6155748963356018,1,0
10.726891040802002,10.0,1,3,15.0,0.6155748963356018,1,0
10.827538967132568,10.0,1,3,15.0,0.8085089921951294,1,0
10.928026914596558,10.0,1,4,15.0,0.8085089921951294,1,0
11.02900242805481,10.0,1,4,15.0,1.0108789205551147,1,0
11.129446029663086,10.0,1,4,15.0,1.0108789205551147,1,0
11.229871273040771,10.0,1,4,15.0,1.0108789205551147,1,0
11.330418348312378,10.0,1,5,15.0,1.1980725526809692,1,0
11.430957078933716,10.0,1,5,15.0,1.1980725526809692,1,0
11.531359434127808,10.0,1,5,15.0,1.3844504356384277,1,0
11.631815910339355,10.0,1,5,15.0,1.3844504356384277,1,0
11.7322518825531,10.0,1,6,15.0,1.3844504356384277,1,0
11.832709312438965,10.0,1,6,15.0,1.5887342691421509,1,0
11.933181524276733,10.0,1,6,15.0,1.5887342691421509,1,0
12.033672332763672,10.0,1,6,15.0,1.8334755897521973,1,0
12.134110927581787,10.0,1,7,15.0,1.8334755897521973,1,0
12.234724998474121,10.0,1,7,15.0,1.8334755897521973,1,0
12.335339069366455,10.0,1,7,15.0,2.049487590789795,1,0
12.435730934143066,10.0,1,7,15.0,2.049487590789795,1,0
12.536290168762207,10.0,1,8,15.0,2.159407615661621,1,0
12.636728048324585,10.0,1,8,15.0,2.159407615661621,1,0
12.737156391143799,10.0,1,8,15.0,2.159407615661621,1,0
12.837726593017578,10.0,1,8,15.0,2.24039888381958,1,0
12.938287496566772,10.0,1,9,15.0,2.24039888381958,1,0
13.038687944412231,10.0,1,9,15.0,2.355548143386841,1,0
13.139332056045532,10.0,1,9,15.0,2.355548143386841,1,0
13.239919185638428,10.0,1,9,15.0,2.355548143386841,1,0
13.340437650680542,10.0,1,10,15.0,2.4750964641571045,1,0
13.441083431243896,10.0,1,10,15.0,2.4750964641571045,1,0
13.54161262512207,10.0,1,10,15.0,2.611757278442383,1,0
13.642263174057007,10.0,1,10,15.0,2.611757278442383,1,0
13.742884635925293,10.0,1,11,15.0,2.611757278442383,1,0
13.843547821044922,10.0,1,11,15.0,2.76950740814209,1,0
